unique_ID,Transacted_amount,Orig_OLD_acc_balance,Orig_NEW_acc_balance,Dest_OLD_acc_balance,Dest_NEW_acc_balance,latitude,longitude,total_hrs_from_first_trans,transaction_type,SAR_Fraud
a675aa23-d6b1-4c10-9fb2-9f358580df35,155854.37,155854.37,0.0,0.0,0.0,42.58342,-71.8023,143.00000000000003,4,0
abde024d-3777-4681-ab08-17aec27228fb,5820137.62,5820137.62,0.0,95384.38,5915522.0,38.91817,-78.19444,162.0,3,0
abf33fba-be5e-4b6c-8da7-3be77500ffde,145067.24,145067.24,0.0,1415212.22,1560279.46,32.35126,-95.30106,673.0,3,0
40746d5e-c989-4933-afd2-ec69bc07bc8a,400758.85,400758.85,0.0,0.0,0.0,32.35126,-95.30106,231.0,4,0
a0c3ccc7-7cc0-4177-8eb0-8f89d12d6b4b,217231.0,217231.0,0.0,7236671.1,7453902.1,32.5007,-94.74049,25.0,3,0
f3962e8c-38fd-4d60-89c7-5ca6c9339573,37974.85,37974.85,0.0,939922.78,977897.62,31.12406,-97.90308,289.00000000000006,3,0
5dbe4b69-844e-449a-8338-8f13421788ab,1676936.79,1676936.79,0.0,0.0,0.0,42.55308,-87.93341,563.0000000000001,4,0
03b0cba9-dfc1-41d2-a63f-b4a14de7e1d7,4252656.95,4252656.95,0.0,0.0,0.0,29.84576,-90.10674,244.0,4,0
4d2bbaba-2927-4a24-ae1a-cc8d6cc01d4b,2426076.89,2426076.89,0.0,0.0,0.0,41.85059,-87.882,406.0,4,0
a556d0f4-b390-48ed-bcac-71191381b24b,2757431.53,2757431.53,0.0,0.0,0.0,31.84568,-102.36764,40.0,4,0
fc6dceed-cbfd-4f4a-9053-ccc28c5b4a75,1576874.04,1576874.04,0.0,0.0,0.0,40.82232,-74.15987,645.0,4,0
50ac002a-2c50-4c06-ae95-4326d1705423,2149976.69,2149976.69,0.0,0.0,0.0,33.52253,-117.70755,77.0,4,0
